2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1402701', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1402701', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH1402701', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0506202', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0506202', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0506202', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0501601', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0501601', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0501601', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0501703', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0501703', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0501703', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1404402', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1404402', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH1404402', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1404403', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1404403', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH1404403', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1401104', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1401104', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH1401104', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0501704', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0501704', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0501704', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0304902', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0304902', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0304902', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1404404', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0405605', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0405605', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0405605', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1401105', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1401105', fire_lead=5, p=1.00
